Name,Milliseconds
Lemon,418324
Rehab (Hot Chip Remix),418293
Phantom Of The Opera,418168
Afraid To Shoot Strangers,416496
Since I've Been Loving You,416365
Seek & Destroy,415817
Black,415712
No No No,414902
Fade To Black,414824
Four Walled World,414474
Where The Wild Things Are,414380
Norwegian Wood,413910
Afraid To Shoot Strangers,412525
These Colours Don't Run,412152
"Wellington's Victory or the Battle Symphony, Op.91: 2. Symphony of Triumph",412000
In The Evening,410566
Se Liga,410409
Ghost Of The Navigator,410070
Samba Da Bênção,409965
You Sent Me Flying / Cherry,409906
My Friend Of Misery,409547
Revelations,408607
Ghost Of The Navigator,408607
Down by the Sea,408163
Afraid To Shoot Strangers,407980
Powerslave,407823
Daughter,407484
Paradise City,406347
"Karelia Suite, Op.11: 2. Ballade (Tempo Di Menuetto)",406000
Blue Train,405028
The Educated Fool,404767
Girl From A Pawnshop,404688
Third Stone From The Sun,404453
Computadores Fazem Arte,404323
Wherever I May Roam,404323
The Small Hours,403435
Blackened,403382
Jerusalem,402390
Dazed and Confused,401920
Babe I'm Gonna Leave You,401475
Terra,401319
Soot & Stars,399986
The Edge Of Darkness,399333
The House Jack Built,398942
Jizzlobber,398341
Helpless,398315
Thank You,398262
Still Of The Night,398210
Ride The Lightning,397740
Astronomy,397531
Creeping Death,396878
Deep Waters,396460
Save Me (Remix),396303
The Thing That Should Not Be,396199
King For A Day,395859
22 Acacia Avenue,395572
The Unforgiven II,395520
The Shortest Straw,395389
"Concerto for Clarinet in A Major, K. 622: II. Adagio",394482
Wicked Ways,393691
